G R AH M	G R U M
JH ER N AH L IH Z AH M	J O U R N A L I S M
M IH S R EH K AH G N AY Z D	M I S R E C O G N I Z E D
OW V ER P R AH D UW S ER Z	O V E R P R O D U C E R S
EH P S AH L AA N	E P S I L O N
UW P S	O O P S
AE P AH L B IY	A P P L E B Y
S L IY K L IY	S L E E K L Y
T IY K AE M P	T E A K A M P
TH AY M	T H Y M E
HH AE G IH N Z	H A G I N S
D IH L AY EH L	D E L I A L
K AE N T ER Z	C A N T O R S
N EH L IH S	N E L L I S
M EH R IY AE L AH S	M A R Y A L I C E
D ER K	D E R K
R EH T IH N JH ER	R E T T I N G E R
R IH D AH L D	R I D D L E D
R OW L F	R O L P H
K OW JH EH N ER EY T	C O G E N E R A T E
IY S T P AE K	E A S T P A C
R AH F Y UW Z AH L	R E F U S A L
P AA T HH OW L Z	P O T H O L E S
AH S EH S M AH N T S	A S S E S S M E N T S
L UW M AH N AH S	L U M I N O U S
B AA L TH AA Z AO R	B A L T H A Z O R
IY EY N	I A I N
F R AA G	F R O G G E
ZH AH B UH R	J A B B O U R
F R AY D IY Z	F R I D A Y S
EH L AH M AH N	E L L E M A N N
D IH S K AO R D AH N T	D I S C O R D A N T
HH AE M AH N D Z	H A M M O N D S
R OW G AA L AH	R O G A L L A
M IH S T IH R IY AH S	M Y S T E R I O U S
M OW M OW K AA W AH	M O M O K A W A
IH V ER T	E V E R T
AA R JH AH N T IY N Z	A R G E N T I N E S
S ER M AY Z	S U R M I S E
HH AA JH K IH N S AH N	H O D G K I N S O N
K IH Z AH N	K I S A N
T R AY AH M F AH N T L IY	T R I U M P H A N T L Y
SH EH R K R AA P ER Z	S H A R E C R O P P E R S
G R EY N ER IY	G R A I N E R Y
F OW ZH AH	F O S I A
AH B T R UW D Z	O B T R U D E S
IH G Z AE K T	E X A C T
JH EH N ER AA S AH T IY	G E N E R O S I T Y
L EH V IH T AW N	L E V I T T O W N
S EH T IH NG Z	S E T T I N G S
R EH NG G AH L	R E N G E L
S AA N IH T	S O N N E T
S W AO R T L IY	S W A R T L E Y
M AE S IH NG	M A S S I N G
B EH S	B E S S E
S AH N D K W IH S T	S U N D Q U I S T
S AH K S IY D Z	S U C C E E D S
S K AE T ER	S C A T T E R
D IH T IH R IY ER EY SH AH N	D E T E R I O R A T I O N
B EH N S AH N HH ER S T	B E N S O N H U R S T
B AH N T IH NG	B U N T I N G
S UW P ER HH IY R OW Z	S U P E R H E R O E S
EH N L AA R JH	E N L A R G E
K W IY N T IY N AH	Q U I N T I N A
K EH L S IY	K E L S E Y
M AE T IH NG G L IY	M A T T I N G L E Y
T AY N IY AH S T	T I N I E S T
ER JH AH N T L IY	U R G E N T L Y
M AE K S IY T AH	M A X Z I D E
R EH P UW CH IY	R E P P U C C I
CH AH NG K S	C H U N K S
HH AY R IH NG	H I R I N G
D IH V OW T S	D E V O T E S
OW V ER B L OW N	O V E R B L O W N
HH AE M AH N	H A M O N
SH AA R L AH T AH N Z	C H A R L A T A N S
L EH JH IH Z	L E D G E S
M IY Y AA HH AA R AH	M I Y A H A R A
N AH Z AH L	N U Z Z L E
N AO R B EH R T AH	N O R B E R T A
HH AA S T IH T AH L ER	H O S T E T T L E R
K AA S T EH K	K O S T E K
HH EH L G AH	H E L G A
W AA M B OW L T	W A M B O L T
D IH S AO R IY AH N T EY SH AH N	D I S O R I E N T A T I O N
S EY G UH R	S E G U R
P IY T S IY M EH N T IY	P I Z Z I M E N T I
N EY	N A Y
M OW N Z	M O A N S
S AY AH N T IH S T S	S C I E N T I S T S
R IY B ER TH	R E B I R T H
M IH S G AY D	M I S G U I D E
B IH R AH M	B Y R A M
P IH S T AH L Z	P I S T O L S
P OY N T IY	P O I N T Y
D AH K R EY N	D E C R A N E
D AA L Z	D O L S
D IH M IH L OW	D E M I L O
AA N T UW	O N T O
T IY D T	T I E D T
S T R AA M	S T R O M M E
M AA R T IH NG K AH	M A R T I N K A
AE N AH T EY SH AH N Z	A N N O T A T I O N S
P AH P L AA F S K IY	P O P L A W S K I
M AA M IY	M O M M Y
F L AE NG K	F L A N K
K R IH Z EH K	K R I Z E K
R OW L AA N D AH	R O L A N D A
W IH T AH K ER	W H I T E A K E R
R AE R IH K	R A R I C K
W IH L IH T S	W I L L I T S
M AH K W EH TH IY	M C W E T H Y
S P L ER JH IH NG	S P L U R G I N G
D W EH L	D W E L L E
IH L N AH S IH Z	I L L N E S S E S
S EY ER Z	S A Y E R S
JH AE K S AH N V IH L	J A C K S O N V I L L E
P AA IY	P A I
AH N P R AH F EH SH AH N AH L	U N P R O F E S S I O N A L
M AH CH UH R	M A T U R E
D EH L F	D E L P H
IH N T ER P R AH T ER	I N T E R P R E T E R
S AO R G AH N	S O R G E N
F IH L IH P IY	F I L I P P I
S IH L K IY	S I L K Y
T AO R P	T O R P
M IH N AH T	M Y N A T T
R AA G AH Z	R A G A S
SH AH R EH L	S H A R E L L
G AA N D W AA N AA L AE N D	G O N D W A N A L A N D
N OW L	N O H L
L AA B D AH L	L O B D E L L
L AY B AH L	L I B E L
HH UW D AH K	H U D A K
SH UH L T S	S C H U L T Z
S K Y UW Z	S K E W S
D OW B IH S	D O B I S
F R IH S K IH N	F R I S K I N
L IY B M AH N	L E I B M A N
M AY L IY IH S	M I L I U S
F AA S T ER	F O S T E R
AE D IH NG T AH N	A D D I N G T O N
K L IH P ER D	C L I P P A R D
D AY K AA T AH M IY	D I C H O T O M Y
K IH N IH S IY AA L AH JH IY	K I N E S I O L O G Y
K W EY V ER D	Q U A V E R E D
G AE B R OW IH K	G A B B R O I C
T AW K ER	T A U C H E R
K AW	K A O
D AH B EY T IH NG	D E B A T I N G
D OW N AA T IY	D O N A T I
AW T G EH S T	O U T G U E S S E D
JH EH L	G E L L
S T AY N B AO R N	S T E I N B O R N
HH ER S K AH V IH T S	H E R S K O V I T Z
R AO R D	R O A R E D
TH EH R IY OW	T H E R R I A U L T
L AY B AH L D	L I B E L E D
D IH G AH L	D I G G L E
SH N EH K L AH TH	S C H N E C K L O T H
G AH M IY	G U M M Y
B AA R T IY	B A R T E E
G Y OW T AH N	G Y O H T E N
D EH Z IY	D E S I
S AE T AH L AY T	S A T E L L I T E
S T EH K	S T E C K
S T R AE G AH L	S T R A G G L E
F AH L AA S AH F IY	P H I L O S O P H Y
B R EY L IY	B R A I L E Y
S T AA R G EY Z ER Z	S T A R G A Z E R S
CH IY T ER	C H E A T E R
M AA N T AE N AH N	M O N T A N A N
T EH HH ER AA N IY Z	T E H E R A N I S
T R AE N S F ER IH NG	T R A N S F E R I N G
G AH JH IH N S K IY	G A D Z I N S K I
K AE L TH	K A L T H O F F
IH N T R AH P AA R T IY	I N T R A P A R T Y
P R AA G R AH M AE T IH K	P R O G R A M M A T I C
S AO NG R AY T IH NG	S O N G W R I T I N G
D IH K OW D	D E C O D E
ER G AH T IH Z AH M	E R G O T I S M
HH AY N M AH N	H E I N E M A N N
EH L V Z	E L V E S
AH P R EY Z D	A P P R A I S E D
L AA M AO R	L A M O R E
T ER N AH B AW T	T U R N A B O U T
K IY N	K I E H N
P IY S K IY P IH NG	P E A C E K E E P I N G
D AY AH N	D I A N
SH W ER T F EY G ER	S C H W E R D T F E G E R
IH L AA JH IH K	I L L O G I C
R IH N IH G D	R E N E G E D
M OW B AH L Z	M O B I L E S
G R AO M AH N	G R A U M A N
JH W EH D EH S	J U E D E S
T R AY AH M F AH N T	T R I U M P H A N T
IY TH ER	E T H E R
B AE N D EY D	B A N D A I D
S ER K IY	S I R C Y
AA NG K AA L AH JH IY	O N C O L O G Y
AH N AE N TH AH	A N A N T H A
S ER CH IH Z	S E A R C H E S
D UW AH T	D U E I T T
K R EY JH	K R A G E
S K IH N HH EH D	S K I N H E A D
T R AE N S F IH K S	T R A N S F I X
S N AE Z IY ER	S N A Z Z I E R
P ER IH G OY	P E R E G O Y
M AE K AH N EH R N IY	M C E N E R N E Y
P AA N D OW L F IY	P A N D O L F I
T AA R T AE G L IY OW N IY	T A R T A G L I O N E
S AE K S B IY	S A X B Y
Z IH NG G AA R OW	Z I N G A R O
D IH S AA N T IY AA G OW	D E S A N T I A G O
D AY AH B IY T IY Z	D I A B E T E S
B AA T IY S T IY	B A T T I S T E
K L AA G IH NG	C L O G G I N G
F EH N S K	F E N S K E
HH ER TH AH	H E R T H A
K IH N Z M AE N	K I N S M A N
K AE F R IY	C A F F R E Y
IH L EH K T R OW M AE G N AH T	E L E C T R O M A G N E T
HH IH L T AH N Z	H I L T O N S
AO F AH S ER Z	O F F I C E R S
T AA F IY	T O F F E E
AE D AH B EH L	A D A B E L
L AH V AH JH	L O V A G E
M IH N AH F IY L D	M I N N I F I E L D
P R AA P ER T IY Z	P R O P E R T I E S
R AA B AA R T	R O B A R T
HH ER N D AH N	H E R N D O N
B AE N AH M EH K S	B A N A M E X
L AA TH	L O T H
SH AA K L IY	S H O C K L E Y
IH N V AY R AH N M EH N T AH L IH S T	E N V I R O N M E N T A L I S T
V AE M P IH R IH K	V A M P I R I C
HH AW M AH T	H O W M E T
F AY N F R AA K	F I N E F R O C K
AY S P AA T	E Y E S P O T
G R AE F IH K AH L	G R A P H I C A L
HH IH P AH K R AE T IH K	H I P P O C R A T I C
K AA M P AH T IH N S IY	C O M P E T E N C Y
IH N F AH N T R IY	I N F A N T R Y
L EH N D ER M AH N	L E N D E R M A N
AA R K OW	A R K O
G R AE N D P AA	G R A N D P A
IH N SH OW	I N S C H O
L AH L IY	L U L I E
AH L AA R	A L L A R
D IH F AY AH N T	D E F I A N T
T R AE N Z R EY SH AH L	T R A N S R A C I A L
IH N T UW IH T IH V L IY	I N T U I T I V E L Y
W AY D AH N Z	W I D E N S
S AE N D B ER G	S A N D B U R G
T ER M AH N EY T IH NG	T E R M I N A T I N G
AH B AW N D IH D	A B O U N D E D
M AH G AH F IY	M C G U F F I E
P EH T IY N IY	P E T T I N E
IH NG M AY R	I N G M I R E
M AE N HH AE N D AH L	M A N H A N D L E
L IH L	L I L
D IY AH F AH K EY SH AH N	D E I F I C A T I O N
R IH D OW	R I D E A U X
G AA D F AA DH ER Z	G O D F A T H E R S
W EH N Z UW	W E N Z H O U
G IH G Z	G I G S
S T AY N F EH L D	S T E I N F E L D
SH UW P ER T	S H U P E R T
R IH N D F L AY SH	R I N D F L E I S C H
W AA F T IH D	W A F T E D
D IH S T IH L ER Z	D I S T I L L E R S
S K R UW D R AY V ER	S C R E W D R I V E R
EH S K AH L EY T ER	E S C A L A T O R
R EH S P R IH S	R E S P R E S S
M IH S AH L	M I S S A L
B R IH JH P AO R T	B R I D G E P O R T
HH AE M AH L	H A M M I L L
V AE N HH AW S AH N	V A N H O U S E N
P EH N T L AH N D	P E N T L A N D
R AO L AH N	R O L L E N
B R AA K ER	B R O C K E R
IH N K L UW S IH V	I N C L U S I V E
S EH M IY AE N UW AH L IY	S E M I A N N U A L L Y
AA R AA M B UW L AH	A R A M B U L A
K AA G W AA S	C A G U A S
W IY G ER Z	W I E G E R S
L AA R K AA M	L A R C O M
HH AA TH	H O T H
B R AE D F IY L D	B R A D F I E L D
G R AE N D V Y UW	G R A N D V I E W
M AH L T IY P L EH K S ER	M U L T I P L E X E R
R IY D EH K ER EY SH AH N	R E D E C O R A T I O N
K UW P ER OW Z	C U P E R O S E
B EH L AH K	B E L A K
N AA V IY N	N A V I N
OW V ER AE K T	O V E R A C T
T R AE JH IH K AA M IH K	T R A G I C O M I C
K IH L T IY	K I L T Y
P ER EY D IH NG	P A R A D I N G
M AE K AH V OY	M C E V O Y
AH D HH IH R Z	A D H E R E S
P EH R AH N OY AH	P A R A N O I A
AO R B AH T AH D	O R B I T E D
G R AE N Y AH L ER	G R A N U L A R
L IH JH IH T AH M AY Z IH NG	L E G I T I M I Z I N G
M AW S	M O U S E
W AY SH AA R	W E I S H A A R
L AO NG HH AO R N Z	L O N G H O R N S
IH N V AY R AH N M EH N T AH L IY	E N V I R O N M E N T A L L Y
SH AO R W ER D	S H O R E W A R D
S K IH R AA L D IY	S C H I R A L D I
S P R AA T	S P R O T T
K IH K W IY T AH	C H I Q U I T A
B IH D AA R D	B E D A R D
K AE T ER S AH N	C A T T E R S O N
P AA P Y AH L EY SH AH N Z	P O P U L A T I O N S
K IY G AA L IY	K E E G A L I
M AH G IH NG Z	M U G G I N G S
R AE D AH K AH L Z	R A D I C A L S
D EH L T	D E A L T
HH AH NG	H U N G
S P IH F IY	S P I F F Y
B AE NG K W AH T	B A N Q U E T
P R IH Z M AE T IH K	P R I S M A T I C
K R AE M P	C R A M P
M IH S N OW M ER	M I S N O M E R
AE JH AH T EY T IH NG	A G I T A T I N G
SH EH R AH D	S H E R R O D
M EH R IH K AH	M E R I C A
AE N T IY AA K	A N T I O C H
F AO R G R AW N D	F O R E G R O U N D
D IY D	D E D E
CH EH N IH V ER T	C H E N E V E R T
S AY T AH D	S I G H T E D
HH AA R T S L ER	H A R T Z L E R
D EH Z ER T IH NG	D E S E R T I N G
L AA D R IH K	L O D W R I C K
N IH L S AH N	N I L S S O N
D EH N V ER	D E N V E R
K R IY G ER	K R E G E R
M EH G Z	M E G G S
W AH N D ER F AH L IY	W O N D E R F U L L Y
D IY K AH N	D E A C O N
D AY S T AH F	D Y E S T U F F
B AH M P AH Z	B U M P A S
T AY K UW N Z	T Y C O O N S
S P EH SH AH L AY Z AH Z	S P E C I A L I Z E S
F IH D AO R AH	F E D O R A
SH AO L	S H A U L L
M IH L K S	M I L K S
L AE N D Z	L A N D S
EH R IY Z	A R I E S
W AO K ER Z	W A L K E R S
B R AO SH	B R O S C H
S W AO R M	S W A R M
G UW S T AA V AH	G U S T A V A
L UH R Z	L U E H R S
B R AA K AH L HH ER S T	B R O C K L E H U R S T
S T EH L M AH K ER	S T E L L M A C H E R
JH OW HH AE N AH S	J O H A N N E S
SH AE G	S H A G
AH N R EH P R IH Z EH N T IH D	U N R E P R E S E N T E D
OW Z AA W AH	O Z A W A
M IH R	M Y H R E
S EY N	S A I N
V IH N IH K	V I N I K
IH V AE P ER EY T S	E V A P O R A T E S
HH EH V IY	H E A V Y
D IH S EH N D AH N T	D E S C E N D A N T
K AA N R AH N	C O N R A N
IY K W AH L AY Z ER	E Q U A L I Z E R
K AO R IH S AH	C O R I S S A
D EH D P AE N	D E A D P A N
B AA R D AH L F	B A R D U L F
R IH M EH M B R AH N S IH Z	R E M E M B R A N C E S
AH R AA N AH T	A H R A N A T
T ER K IY	T U R K E Y
R IH NG K AH L Z	W R I N K L E S
M AE D IH NG	M A D D I N G
HH IY R OW AY Z	H E R O I Z E
K L OW N D	C L O N E D
T AE L IH JH EH N T	T A L I G E N T
F OW P EH L	F A U P E L
G OW K	G O E K E
R OW B AH TH AE M	R O W B O T H A M
T R AE N S L UW S AH N T	T R A N S L U C E N T
B AH JH D	B U D G E D
P R AA T AH S T AH N T IH Z AH M	P R O T E S T A N T I S M
R IY HH ER S IH Z	R E H E A R S E S
K IY AA R N IH M	C H I A R N I M
P EH N AH	P E N N A
G R AE N AO F	G R A N O F F
B EY Z IY	B A S I E
G R IY N HH OW	G R E E N H O E
P OW K IH NG	P O K I N G
K Y UW	C U E
SH W ER D L AO F	S C H W E R D L O F F
G EY M Z M AE N	G A M E S M A N
HH AW B R IH K	H A U B R I C H
M IH L K AO F S K IY	M I L K O W S K I
AE L AH G EY N IY Z	A L L E G H E N I E S
R IY T R EH N CH M AH N T S	R E T R E N C H M E N T S
L AH B AA R	L A B A R
B OW AH N	B O H E N
AH S IH M AH L EY SH AH N	A S S I M I L A T I O N
T R IH L OW	T R I L L O
M EH R IY	M E R R I E
CH AE L AH S AE N IY	C H A L A S A N I
B R IH L Y AH N S	B R I L L I A N C E
S M AA R T IH SH	S M A R T I S H
Y UW AH N	E W A N
S AA L AH D Z	S O L I D S
W AO S IH M	W A S E M
B R AE N D IH SH IH NG	B R A N D I S H I N G
R AA K HH OW L D	R O C K H O L D
M IH S D AH M IY N ER	M I S D E M E A N O R
W IH N AH N AH	W I N O N A
N EH L IH G AH N	N E L L I G A N
L AE M B ER T	L A M B E R T
G AA B L AH T	G O B L E T
IH N HH AH B IH SH AH N Z	I N H I B I T I O N S
D ER N	D E R N
B AA T IY AA T OW	B A T T I A T O
L EH M EH N	L E M M E N
AA Z IY	O Z Z I E
T EH N D IH NG	T E N D I N G
CH IY V Z	C H E V E S
B R AW N R IH G	B R O W N R I G G
B AA D IY G AA R D	B O D Y G U A R D
G L OW T	G L O A T
L AH G IH NG	L U G G I N G
R AY D	R I D E
M AH K L AA R N AH N	M C C L A R N O N
OW K AA R	O A K A R
F EH S P ER M AH N	F E S P E R M A N
R UW Z IH Z	R U S E S
JH UW N	J U N E
B IY CH B AA L	B E A C H B A L L
G W EH N	G W E N
K R EH G AH L	K R E G E L
M AA T S	M O T T S
K R IH S T AH L N AA K T	K R I S T A L L N A C H T
Z AA R B	Z A R B
P AA R M ER	P A R M E R
S UW P ER W UH M AH N	S U P E R W O M A N
M AA N T P IY L IY ER	M O N T P E L I E R
HH AO F M AY S T ER	H O F F M E I S T E R
S AO D IY	S A U D I
G UW T IY	G O O T E E
D AY AE D	D Y A D
B AE N	B A N N
K AA D L IH N	C O D L I N
B AA N IY	B O N N I E
K AA P AA R OW	C H A P A R R O
AE M AH L IY AH	A M A L E A
S K EY T IH NG	S K A T I N G
G R UW P IY	G R O U P I E
P IH Z AA T IY	P I Z A T T I
SH EH L T ER IH NG	S H E L T E R I N G
B AA B IY AE K	B A B I A K
P L IY N	P L E I N
IH N IH T IY OW	I N I T I O
JH EH R IH NG ER	G E R R I N G E R
AE B D AH K T IH NG	A B D U C T I N G
SH IH L IH NG	S H I L L I N G
HH OW L S T EH D	H O L S T E A D
M OW Z	M O E S
M IY K S	M E E K S
D R EH D F AH L IY	D R E A D F U L L Y
M AH K M AE S T ER	M C M A S T E R
D Y UW R IH K	D U R I C K
B AH S ER T	B U S S E R T
AH N S W EY D	U N S W A Y E D
IH N IH SH AH L	I N I T I A L
B AO R D IH N G P AE S	B O A R D I N G P A S S
S UW P ER S IH L IY AH S	S U P E R C I L I O U S
N IH K S	K N I C K S
AA L V EH S	A L V E S
N AY K AO R	N Y C O R
DH AH	T H E
V IH N IY	V I N N I E
JH OW HH AE N S AH N	J O H A N S E N
S T AO N CH L IY	S T A U N C H L Y
B AA R EH R AH	B A R R E R A
L IH N M AH N	L I N N E M A N N
N AY T IH D	K N I G H T E D
G AE G D	G A G G E D
K AE R IY ER Z	C A R R I E R S
F AA N ER	F O N N E R
AE G K OW	A G C O
D EH K S HH AY M ER	D E X H E I M E R
F AO R AH S T ER Z	F O R E S T E R S
IH N T ER S EH P T ER	I N T E R C E P T O R
EH N T S AH M IH NG ER	E N T S M I N G E R
G IH L K R IH S T	G I L C H R I S T
IH R EH K SH AH N Z	E R E C T I O N S
Y UW N IH S EH K S	U N I S E X
D OW L JH IH N	D O L G I N
F EY K	F A K E
F IY AO R IY N OW	F I O R I N O
S P EH N D TH R IH F T	S P E N D T H R I F T
B IY T IY	B E A T T Y
R OW D AE N TH	R H O D A N T H E
K UW B ER S K IY	K U B E R S K I
V AA R N Z	V A R N E S
M AY K R OW M AE N IH JH IH NG	M I C R O M A N A G I N G
N IY L IH S	N E A L I S
SH ER IH NG	S C H U R I N G
L IY K AA V OW L IY	L I C A V O L I
R AA V IY SH AA NG K AA R	R A V I S H A N K A R
K EY Z	K A Y S
HH OW S L IY	H O E S L Y
G AH L B R AH N S AH N	G U L B R A N S E N
P EH N AH L	P E N N E L L
S T AA K B R OW K ER IH JH	S T O C K B R O K E R A G E
D IH L AY T IH NG	D E L I G H T I N G
D AA R K AH N D	D A R K E N E D
P R EH S T EH K	P R E S T E C H
M UW S OW L IY N IY	M U S S O L I N I
SH AH M W EY	S H U M W A Y
G R EY V S AY T	G R A V E S I T E
W IH N IY	W I N N E Y
CH EH S T AA R OW	C E S T A R O
K AO R D R EY	C O R D R A Y
AH N R IY P AO R T IH D	U N R E P O R T E D
AE G R AH N D AY Z IH NG	A G G R A N D I Z I N G
K OW IH N S AH D AH N S IH Z	C O I N C I D E N C E S
K AE R AH B EH L OW	C A R A B E L L O
G AA R G W IY L OW	G A R G U I L O
K AE P S AH L	C A P S U L E
B ER T IY	B E R T I E
K AH N UW IH NG	C A N O E I N G
B AO R K ER Z	B O R C H E R S
AH N AE K R AH N IH Z AH M Z	A N A C H R O N I S M S
T AH M EY T OW	T O M A T O E
L IH NG G ER D	L I N G E R E D
V AE N M EY T ER	V A N M A T R E
S L EY N	S L A I N
T AH B M AH N	T U B M A N
HH IH B SH M AH N	H I B S H M A N
B AH L M ER	B U L M E R
SH ER B ER N	S H E R B U R N E
N AW M AH N	N A U M A N
D AE Z AH L D	D A Z Z L E D
M EH N T ER IH NG	M E N T O R I N G
R AE M AH F AH K EY SH AH N Z	R A M I F I C A T I O N S
M EY V IH L	M A Y V I L L E
B AA T AH L N EH K	B O T T L E N E C K
S EH V AH N T IY N	S E V E N T E E N
K IH M IH CH	K I M M I C H
K W AO R IY Z	Q U A R R I E S
S IH R AA G UW S AH	S I R A G U S A
G R UW V IY AH S T	G R O O V I E S T
B UW K AA V UW	B U K A V U
V AO R W AO L D	V O R W A L D
R IH JH	R I D G E
M AE G AH Z IY N Z	M A G A Z I N E S
F IH G Y ER IH NG	F I G U R I N G
R AY JH AH L	R I G E L
T AO R IY AH N	T O R I A N
AH N K AH L EH K T AH B AH L	U N C O L L E C T A B L E
P OW ER	P O E R
N IY L D	N I E L D
P Y UH R IH S T IH K	P U R I S T I C
M AA N D IY	M O N D Y
S EH N T AA R IY	C E N T A U R I
G IH L Y AA R D IY	G I L L I A R D I
K AE M P AH	C A M P A
R IY K AO NG K ER D	R E C O N Q U E R E D
D AH M IY L IY OW	D A M E L I O
K R OW K AH S	C R O C U S
AH T EH N SH AH N Z	A T T E N T I O N S
N UW T S	N E W T S
R IH G R EH T AH B L IY	R E G R E T T A B L Y
R EH G AH L	R E G E L
B EH K L AH N D	B E C K L U N D
HH EH M IH L G AA R N	H E M M E L G A R N
D EH M AH N S T R EY T	D E M O N S T R A T E
N AY Z	N I E S
K AO R T IY N	C O R T I N E
W AA N D ER D	W A N D E R E D
K R AY	C R Y
M IH N IH K	M I N I C K
S AH L EH B R AH T AO R IY	C E L E B R A T O R Y
D AY M AO R F IH K	D I M O R P H I C
M OW D IY	M O D Y
K AA R IH L AH	C A R I L L A
R IH K HH AA R T	R I C H A R T
L AO R T IY	L O R T I E
B R AH N T L AH N D	B R U N D T L A N D
K EH L AH M	K E L L U M
B OW D IY	B O D I
L AY	L Y
L AA K IH NG	L O C K I N G
B AW M AY S T ER	B A U M E I S T E R
W AO T ER W ER K S	W A T E R W O R K S
D AE N T	D A N T
Z IH M B AH L IH S T	Z I M B A L I S T
HH UH D L AH M	H O O D L U M
P UH R V IY AH N S	P U R V I A N C E
V AY ER	V I A R
K OW P AA R T N ER Z	C O P A R T N E R S
Z AA N OW N IY	Z A N O N I
HH IH L T AH N	H I L T O N
P IY K AA K S	P E A C O C K S
M AH K N IH N CH	M C N I N C H
P IH N AH T UW B OW	P I N A T U B O
B R EH N D AH L IH NG ER	B R E N D L I N G E R
M AE N IH N AH	M A N N I N A
P EH P ER IH JH	P E P P E R I D G E
B ER N S AH N	B E R N S O N
M IY D IY AH Y UW Z	M E D I A N E W S
B AH T N ER	B U T N E R
F EH R N AH S	F A I R N E S S
L EY ER Z	L A Y E R S
R AA N S K IY	W R O N S K I
M IY T IY ER AA L AH JH IH S T S	M E T E O R O L O G I S T S
P L EY T Z ER	P L A T Z E R
IH N AO G Y ER EY T IH NG	I N A U G U R A T I N G
L W EH	L U E H
P ER L Z	P E A R L S
D IH F ER EH N SH IY EY T IH D	D I F F E R E N T I A T E D
M AE JH AH L	M A G I L L
SH N AY T ER	S C H N E I T E R
K L AE P IH NG	C L A P P I N G
T EH N D ER N AH S	T E N D E R N E S S
JH ER	J E R R
OW K ER OW S K IY	O K U R O W S K I
HH AA R D IH K	H A R D I C K
K R UW N	C R O O N
EH K S IH T ER	E X E T E R
JH UH R AH N IH K	J U R A N E K
P EH R AH L AH S L IY	P E R I L O U S L Y
S M AH L EH N S K IY	S M O L E N S K I
B EH L V IH L	B E L L V I L L E
G W IY N T OW	G U I N T O
K AA S L OW	K O S L O W
D AW N W IH N D	D O W N W I N D
D EH N	D E H N E
K AH M P AH N IY W AY D	C O M P A N Y W I D E
S L IY TH	S L E E T H
K W IH P S	Q U I P S
Z OW Z AH N	Z O S E N
JH IY JH IH K	D Z I E D Z I C
R IY IH M ER JH D	R E E M E R G E D
T OW M AA S EH T IY	T O M A S E T T I
S AA L IH N	S A H L I N
V AE S K OW	V A S C O
N AA T ER	N O T T E R
K AH L AO R IH K	C A L O R I C
AO R N AH M AH N T S	O R N A M E N T S
D IY L IY	D E I L Y
K AH N JH EH N AH T AH L	C O N G E N I T A L
L AE K IH NG	L A C K I N G
IH N V EH S T	I N V E S T
IH N T ER F AH N D IH NG	I N T E R F U N D I N G
P EH S	P E S C E
EH R IH K S AH N	E R I K S S O N
IH D IY AA T IH K L IY	I D I O T I C A L L Y
AE N T IY S M OW K IH NG	A N T I S M O K I N G
N OW V EH L IY	N O V E L L I
SH N ER	S C H N U R R
B AA R N HH AA R T	B A R N H A R T
V ER IY N AH	V E R I N A
R AO L IH NG Z	R A W L I N G S
V UW	V O U S
K R IH S CH AH N Z	C H R I S T I A N S
F ER T IH L AH T IY	F E R T I L I T Y
T R AE N S EH N D AH N T	T R A N S C E N D E N T
Z IY K	Z E K E
S AE NG G W IH N	S A N G U I N E
G OW	G O H
P AO R EH K AH	P O R R E C A
W AO L B R OW	W A L B R O
T R AY	T R Y
TH AE N AH T AO L AH JH IY	T H A N A T O L O G Y
F R IY Z	F R E A S
W IH S K ER	W H I S K E R
K AE L V ER T	C A L V E R T
S UW P ER HH EH T ER AH D AY N	S U P E R H E T E R O D Y N E
P L AE K	P L A Q U E
D AO S	D O S S
T IY N AH	T E E N A
HH AA JH K IH N Z	H O D G K I N S
F AO R AH M	F O R U M
AE L B ER T S	A L B E R T S
HH AA P F ER	H O P F E R
AW T L IH V	O U T L I V E
B R AE D F ER D	B R A D F O R D
OW V ER D R AE F T S	O V E R D R A F T S
SH AE NG K S	S H A N K S
V EH Z IH K AH L	V E S I C L E
M AH F S	M U F F S
HH OW L Z ER	H O L Z E R
P AA S AH B IH L AH T IY	P O S S I B I L I T Y
D IH R IH T ER	D E R U I T E R
T AE K T F AH L IY	T A C T F U L L Y
D IH S AE T AH S F AY D	D I S S A T I S F I E D
L IH K T ER	L I C H T E R
G EH R IY N OW	G U E R I N O
B ER N HH AA R D	B E R N H A R D
EH P EY D AH	E P E D A
EH L W IH N	E L W I N
AA R M IY	A R M Y
OW Y AH	O J A
HH AW IH S AH N	H O W I S O N
G IH N IY	G U I N E Y
T AA K AH SH OW K UW	T A K U S H O K U
L UW D	L E W D
K AA D OW	K A D O W
S AE L OW	S A L O W
AH K S EH P T AH B IH L AH T IY	A C C E P T A B I L I T Y
AE K S EH N CH UW EY T	A C C E N T U A T E
B ER OW N	B A R R O N E
T OW P AA L	T O P O L
AE S AH T EY T	A C E T A T E
D IH R B AO R N	D E A R B O R N
P AY L	P Y L E
R EH D IY Z	R E A D I E S
S W IY T	S U I T E
HH IH NG K AH L	H I N K L E
S IH G N AH	C I G N A
T OY F AH L	T E U F E L
W EH L K	W E L K
R UW JH IH R EH L OW	R U G G I R E L L O
AA N S T EY JH	O N S T A G E
G IH L G ER	G I L G E R
S IH N D ER EH L AH	C I N D E R E L L A
P IY T S ER IY AH	P I Z Z E R I A
CH IY N K OW T AH	C I N C O T T A
V IH S IH S IH T UW D Z	V I C I S S I T U D E S
